2023-10-30 20:41:31.069 [info] Log level: Info
2023-10-30 20:41:31.069 [info] Validating found git in: "git"
2023-10-30 20:41:31.069 [info] Using git "2.34.1" from "git"
2023-10-30 20:41:31.069 [info] > git rev-parse --show-toplevel [22ms]
2023-10-30 20:41:31.419 [info] > git rev-parse --show-toplevel [23ms]
2023-10-30 20:41:31.445 [info] > git rev-parse --show-toplevel [8ms]
2023-10-30 20:41:46.011 [info] > git rev-parse --show-toplevel [10ms]
2023-10-30 20:41:50.063 [info] > git rev-parse --show-toplevel [4ms]
2023-10-30 20:44:54.611 [info] > git rev-parse --show-toplevel [5ms]
2023-10-30 20:54:15.658 [info] > git rev-parse --show-toplevel [12ms]
2023-10-30 21:15:12.008 [info] > git rev-parse --show-toplevel [4ms]
2023-10-30 21:29:56.098 [info] > git rev-parse --show-toplevel [8ms]
2023-10-30 21:31:16.043 [info] > git rev-parse --show-toplevel [64ms]
2023-10-31 19:16:39.679 [info] > git rev-parse --show-toplevel [28ms]
2023-10-31 19:16:53.816 [info] > git rev-parse --show-toplevel [14ms]
2023-10-31 19:19:57.221 [info] > git rev-parse --show-toplevel [14ms]
2023-10-31 19:20:03.493 [info] > git rev-parse --show-toplevel [20ms]
2023-10-31 19:20:19.696 [info] > git rev-parse --show-toplevel [2ms]
2023-10-31 19:21:31.026 [info] > git rev-parse --show-toplevel [12ms]
2023-10-31 19:21:52.683 [info] > git rev-parse --show-toplevel [14ms]
2023-10-31 19:41:24.148 [info] > git rev-parse --show-toplevel [51ms]
2023-10-31 19:45:47.208 [info] > git rev-parse --show-toplevel [17ms]
2023-10-31 19:46:50.308 [info] > git rev-parse --show-toplevel [22ms]
2023-10-31 19:48:47.785 [info] > git rev-parse --show-toplevel [27ms]
2023-10-31 20:03:31.695 [info] > git rev-parse --show-toplevel [69ms]
2023-10-31 20:14:25.853 [info] > git rev-parse --show-toplevel [8ms]
2023-10-31 20:14:34.070 [info] > git rev-parse --show-toplevel [5ms]
2023-10-31 20:14:43.777 [info] > git rev-parse --show-toplevel [20ms]
2023-10-31 20:16:31.738 [info] > git rev-parse --show-toplevel [23ms]
2023-10-31 20:17:51.383 [info] > git rev-parse --show-toplevel [8ms]
2023-10-31 20:26:14.458 [info] > git rev-parse --show-toplevel [17ms]
2023-10-31 20:27:14.494 [info] > git rev-parse --show-toplevel [16ms]
2023-10-31 20:27:17.892 [info] > git rev-parse --show-toplevel [17ms]
2023-10-31 20:30:01.881 [info] > git rev-parse --show-toplevel [22ms]
2023-10-31 20:30:48.337 [info] > git rev-parse --show-toplevel [16ms]
