2023-11-07 12:05:44.832 [info] Log level: Info
2023-11-07 12:05:44.832 [info] Validating found git in: "git"
2023-11-07 12:05:44.832 [info] Using git "2.34.1" from "git"
2023-11-07 12:05:44.832 [info] > git rev-parse --show-toplevel [5ms]
2023-11-07 12:05:44.969 [info] > git rev-parse --show-toplevel [139ms]
2023-11-07 12:05:45.122 [info] > git rev-parse --show-toplevel [48ms]
2023-11-07 12:05:45.143 [info] > git rev-parse --show-toplevel [3ms]
2023-11-07 12:18:27.564 [info] > git rev-parse --show-toplevel [8ms]
2023-11-07 15:32:55.380 [info] > git rev-parse --show-toplevel [5ms]
2023-11-07 15:33:03.886 [info] > git rev-parse --show-toplevel [13ms]
2023-11-07 15:47:43.157 [info] > git rev-parse --show-toplevel [13ms]
2023-11-07 15:52:50.018 [info] > git rev-parse --show-toplevel [9ms]
2023-11-07 15:52:56.796 [info] > git rev-parse --show-toplevel [11ms]
2023-11-07 15:53:07.048 [info] > git rev-parse --show-toplevel [1ms]
2023-11-07 15:53:10.418 [info] > git rev-parse --show-toplevel [18ms]
2023-11-07 15:53:47.019 [info] > git rev-parse --show-toplevel [2ms]
2023-11-07 15:53:49.692 [info] > git rev-parse --show-toplevel [9ms]
2023-11-07 15:53:55.083 [info] > git rev-parse --show-toplevel [2ms]
2023-11-07 15:53:56.373 [info] > git rev-parse --show-toplevel [7ms]
2023-11-07 15:54:12.694 [info] > git rev-parse --show-toplevel [2ms]
2023-11-07 15:54:14.416 [info] > git rev-parse --show-toplevel [8ms]
2023-11-07 16:05:49.887 [info] > git rev-parse --show-toplevel [1ms]
2023-11-07 16:06:36.801 [info] > git rev-parse --show-toplevel [21ms]
2023-11-07 16:14:05.649 [info] > git rev-parse --show-toplevel [17ms]
2023-11-07 16:14:07.401 [info] > git rev-parse --show-toplevel [16ms]
2023-11-07 16:15:59.815 [info] > git rev-parse --show-toplevel [2ms]
2023-11-07 16:22:53.065 [info] > git rev-parse --show-toplevel [3ms]
2023-11-07 16:32:25.346 [info] > git rev-parse --show-toplevel [22ms]
2023-11-07 16:32:27.429 [info] > git rev-parse --show-toplevel [24ms]
2023-11-07 16:34:24.248 [info] > git rev-parse --show-toplevel [5ms]
2023-11-07 16:38:01.315 [info] > git rev-parse --show-toplevel [4ms]
2023-11-07 16:44:35.101 [info] > git rev-parse --show-toplevel [56ms]
2023-11-07 16:44:52.352 [info] > git rev-parse --show-toplevel [17ms]
2023-11-07 16:45:03.277 [info] > git rev-parse --show-toplevel [17ms]
2023-11-07 16:45:18.554 [info] > git rev-parse --show-toplevel [19ms]
2023-11-07 16:45:43.956 [info] > git rev-parse --show-toplevel [2ms]
2023-11-07 16:45:44.792 [info] > git rev-parse --show-toplevel [16ms]
2023-11-07 16:47:45.375 [info] > git rev-parse --show-toplevel [17ms]
2023-11-07 16:48:00.138 [info] > git rev-parse --show-toplevel [17ms]
2023-11-07 16:54:46.489 [info] > git rev-parse --show-toplevel [2ms]
2023-11-07 16:55:13.492 [info] > git rev-parse --show-toplevel [17ms]
2023-11-07 16:55:58.660 [info] > git rev-parse --show-toplevel [3ms]
2023-11-07 16:57:00.036 [info] > git rev-parse --show-toplevel [22ms]
2023-11-07 17:45:13.506 [info] > git rev-parse --show-toplevel [25ms]
2023-11-07 17:45:21.648 [info] > git rev-parse --show-toplevel [39ms]
2023-11-07 17:45:24.755 [info] > git rev-parse --show-toplevel [43ms]
2023-11-07 19:21:58.060 [info] > git rev-parse --show-toplevel [36ms]
2023-11-07 19:22:56.470 [info] > git rev-parse --show-toplevel [75ms]
2023-11-07 19:22:57.828 [info] > git rev-parse --show-toplevel [14ms]
2023-11-07 19:23:39.233 [info] > git rev-parse --show-toplevel [3ms]
2023-11-07 19:23:46.525 [info] > git rev-parse --show-toplevel [4ms]
2023-11-07 20:29:59.651 [info] > git rev-parse --show-toplevel [8ms]
2023-11-07 20:30:09.567 [info] > git rev-parse --show-toplevel [1ms]
2023-11-07 20:34:26.483 [info] > git rev-parse --show-toplevel [3ms]
2023-11-07 20:36:31.515 [info] > git rev-parse --show-toplevel [2ms]
2023-11-07 20:41:22.881 [info] > git rev-parse --show-toplevel [3ms]
2023-11-07 21:06:00.572 [info] > git rev-parse --show-toplevel [2ms]
2023-11-07 21:06:22.683 [info] > git rev-parse --show-toplevel [26ms]
2023-11-07 21:07:00.647 [info] > git rev-parse --show-toplevel [9ms]
2023-11-07 21:09:11.999 [info] > git rev-parse --show-toplevel [1ms]
2023-11-07 21:10:03.495 [info] > git rev-parse --show-toplevel [3ms]
2023-11-07 21:13:21.762 [info] > git rev-parse --show-toplevel [18ms]
2023-11-07 21:13:38.830 [info] > git rev-parse --show-toplevel [2ms]
2023-11-07 21:15:59.785 [info] > git rev-parse --show-toplevel [2ms]
